
Lmod is automatically replacing "cce/15.0.0" with "gcc/11.2.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-gnu/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Node summary for    1 nodes:
Node    0, hostname nid003101, mpi   1, omp   8, executable xthi_mpi_mp
MPI summary: 1 ranks 
Node    0, rank    0, thread   0, (affinity = 0,128) 
Node    0, rank    0, thread   1, (affinity = 0,128) 
Node    0, rank    0, thread   2, (affinity = 1,129) 
Node    0, rank    0, thread   3, (affinity = 1,129) 
Node    0, rank    0, thread   4, (affinity = 2,130) 
Node    0, rank    0, thread   5, (affinity = 2,130) 
Node    0, rank    0, thread   6, (affinity = 3,131) 
Node    0, rank    0, thread   7, (affinity = 3,131) 
 WARNING: No physical constants found! PS3D uses default values.
 Warning: Read the last time step.
Found x-vorticity field input, reading ... done
Found y-vorticity field input, reading ... done
Found z-vorticity field input, reading ... done
 Hyperviscosity nu =  1.3548293E-07
 At time   0.0000000000000000      and time step   6.1695978790452646E-002
 At time   6.1695978790452646E-002 and time step   6.1627065053138523E-002
 At time  0.12332304384359116      and time step   6.1545527310600201E-002
 At time  0.18486857115419136      and time step   6.1458282975760531E-002
 At time  0.24632685412995189      and time step   6.1352721516290447E-002
 At time  0.30767957564624232      and time step   6.1107538054633224E-002
 At time  0.36878711370087552      and time step   6.0863435612045630E-002
 At time  0.42965054931292113      and time step   6.0622671141810601E-002
 At time  0.49027322045473171      and time step   6.0358515899219464E-002
 At time  0.55063173635395113      and time step   6.0083996285194334E-002
 At time  0.61071573263914547      and time step   5.9816623375807197E-002
 At time  0.67053235601495265      and time step   5.9557558873281562E-002
 At time  0.73008991488823416      and time step   5.9307592371561468E-002
 At time  0.78939750725979563      and time step   5.9067183795335529E-002
 At time  0.84846469105513111      and time step   5.8836505271088385E-002
 At time  0.90730119632621953      and time step   5.8615482000419168E-002
 At time  0.96591667832663874      and time step   5.8403828333428019E-002
 At time   1.0243205066600667      and time step   5.8201082301911310E-002
 At time   1.0825215889619779      and time step   5.8006634611908837E-002
 At time   1.1405282235738867      and time step   5.7819754278824818E-002
 At time   1.1983479778527115      and time step   5.7632806374366179E-002
 At time   1.2559807842270776      and time step   5.7425544085176410E-002
 At time   1.3134063283122539      and time step   5.7225728605856764E-002
 At time   1.3706320569181107      and time step   5.7032341628694680E-002
 At time   1.4276643985468054      and time step   5.6844320040901772E-002
 At time   1.4845087185877071      and time step   5.6660576256415095E-002
 At time   1.5411692948441222      and time step   5.6480016449943556E-002
 At time   1.5976493112940657      and time step   5.6301564461336669E-002
 At time   1.6539508757554024      and time step   5.6124177389361658E-002
 At time   1.7100750531447642      and time step   5.5946883668512352E-002
 At time   1.7660219368132766      and time step   5.5768785039873703E-002
 At time   1.8217907218531502      and time step   5.5589080146247541E-002
 At time   1.8773798019993977      and time step   5.5407102339408168E-002
 At time   1.9327869043388060      and time step   5.5222335558013438E-002
 At time   1.9880092398968194      and time step   5.5034461867333483E-002
 At time   2.0430437017641530      and time step   5.4843338430372687E-002
 At time   2.0978870401945255      and time step   5.4649023033812562E-002
 At time   2.1525360632283381      and time step   5.4451818862954249E-002
 At time   2.2069878820912923      and time step   5.4252238723573057E-002
 At time   2.2612401208148651      and time step   5.4051033460015982E-002
 At time   2.3152911542748811      and time step   5.3849169651155965E-002
 At time   2.3691403239260369      and time step   5.3647835634390677E-002
 At time   2.4227881595604277      and time step   5.3448411057031957E-002
 At time   2.4762365706174596      and time step   5.3252436894969127E-002
 At time   2.5294890075124288      and time step   5.3061607236511488E-002
 At time   2.5825506147489401      and time step   5.2860848259829084E-002
 At time   2.6354114630087691      and time step   5.2641535851045633E-002
 At time   2.6880529988598147      and time step   5.2020970111858980E-002
 At time   2.7400739689716738      and time step   5.1389054988004036E-002
 At time   2.7914630239596776      and time step   5.0775834702556047E-002
 At time   2.8422388586622338      and time step   5.0182942119308280E-002
 At time   2.8924218007815421      and time step   4.9611722108816370E-002
 At time   2.9420335228903585      and time step   4.9063249159068179E-002
 At time   2.9910967720494268      and time step   4.8538341592434600E-002
 At time   3.0396351136418613      and time step   4.8037554261652474E-002
 At time   3.0876726679035138      and time step   4.7561209697318314E-002
 At time   3.1352338776008319      and time step   4.7109425888164462E-002
 At time   3.1823433034889965      and time step   4.6649462658823519E-002
 At time   3.2289927661478202      and time step   4.6195841642439915E-002
 At time   3.2751886077902599      and time step   4.5768775883156511E-002
 At time   3.3209573836734165      and time step   4.5367650310161094E-002
 At time   3.3663250339835775      and time step   4.4991790421615427E-002
 At time   3.4113168244051928      and time step   4.4640439359624348E-002
 At time   3.4559572637648173      and time step   4.4312874359007014E-002
 At time   3.5002701381238244      and time step   4.4008267678418062E-002
 At time   3.5442784058022423      and time step   4.3725853257475730E-002
 At time   3.5880042590597179      and time step   4.3464947294866871E-002
 At time   3.6314692063545846      and time step   4.3224913042649117E-002
 At time   3.6746941193972336      and time step   4.3005077502355174E-002
 At time   3.7176991968995887      and time step   4.2804856373752240E-002
 At time   3.7605040532733409      and time step   4.2623814001275087E-002
 At time   3.8031278672746160      and time step   4.2461489550557542E-002
 At time   3.8455893568251738      and time step   4.2317551942801283E-002
 At time   3.8879069087679752      and time step   4.2191807879560478E-002
 At time   3.9300987166475356      and time step   4.2084148500004796E-002
 At time   3.9721828651475404      and time step   4.1994636155874801E-002
 At time   4.0141775013034149      and time step   4.1923418334106670E-002
 At time   4.0561009196375215      and time step   4.1870758596931533E-002
